Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Kevin Bordian,Leslie Bory,Paolo Fabrizio,Julian Fantino,Tony Genco,Brian Jedan,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 51","Vaughan",1,10,0,1,28,64,0,1,0,105,552
35096,"Vaughan/Vaughan"," 52","Vaughan",0,17,0,0,40,36,0,1,1,95,452
35096,"Vaughan/Vaughan"," 53","Vaughan",0,0,0,1,25,44,0,0,0,70,496
35096,"Vaughan/Vaughan"," 54","Vaughan",0,1,0,0,38,39,0,0,0,78,469
35096,"Vaughan/Vaughan"," 55","Vaughan",0,5,0,2,19,29,0,0,1,56,515
35096,"Vaughan/Vaughan"," 56","Vaughan",2,2,1,0,23,40,0,1,0,69,454
35096,"Vaughan/Vaughan"," 57","Vaughan",2,1,0,1,57,48,0,2,0,111,717
35096,"Vaughan/Vaughan"," 58A","Vaughan",0,0,1,0,43,27,0,2,0,73,438
35096,"Vaughan/Vaughan"," 58B","Vaughan",1,2,0,1,73,52,0,1,1,131,544
35096,"Vaughan/Vaughan"," 58C","Vaughan",0,2,0,2,69,44,0,0,0,117,616
35096,"Vaughan/Vaughan"," 58D","Vaughan",0,3,0,2,53,71,0,2,0,131,564
35096,"Vaughan/Vaughan"," 59","Vaughan",0,2,0,0,104,53,0,7,1,167,462
35096,"Vaughan/Vaughan"," 60","Vaughan",0,2,0,1,69,72,0,6,0,150,308
35096,"Vaughan/Vaughan"," 61","Vaughan",1,0,0,0,107,45,0,1,2,156,406
35096,"Vaughan/Vaughan"," 62","Vaughan",0,0,0,0,98,31,0,0,0,129,422
35096,"Vaughan/Vaughan"," 63","Vaughan",0,0,0,0,67,26,1,3,1,98,290
35096,"Vaughan/Vaughan"," 64","Vaughan",0,2,0,0,42,26,0,1,0,71,256
35096,"Vaughan/Vaughan"," 65","Vaughan",0,0,0,2,67,43,0,3,0,115,403
35096,"Vaughan/Vaughan"," 66","Vaughan",0,0,0,2,70,40,0,0,1,113,502
