Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Dorian Baxter,Leslie Bory,Kevin Clarke,John Deverell,Judi Falardeau,Chrystia Freeland,Linda McQuaig,Michael Nicula,Geoff Pollock,"John ""The Engineer"" Turmel",Bahman Yazdanfar,Rejected Ballots,Total Votes,Electors
35093,Toronto Centre,459,Toronto,Merged with No. 91,,,,,,,,,,,,,52
35093,Toronto Centre,460,Toronto,1,0,0,7,1,39,35,0,7,1,0,0,91,259
35093,Toronto Centre,461,Toronto,0,0,0,1,1,30,35,0,3,0,1,0,71,246
35093,Toronto Centre,462,Toronto,3,0,3,0,3,31,71,0,8,0,1,1,121,310
35093,Toronto Centre,463,Toronto,2,0,3,0,5,41,72,2,2,0,0,0,127,295
35093,Toronto Centre,464,Toronto,2,1,0,2,3,48,58,0,2,1,0,5,122,328
35093,Toronto Centre,465,Toronto,1,0,0,2,0,37,34,0,5,0,0,0,79,276
35093,Toronto Centre,466,Toronto,1,0,0,0,0,39,31,0,4,0,0,0,75,243
35093,Toronto Centre,467,Toronto,7,0,0,2,0,60,33,0,23,0,0,0,125,211
35093,Toronto Centre,468,Toronto,3,0,0,9,0,75,76,0,14,0,0,0,177,430
35093,Toronto Centre,469,Toronto,2,0,0,7,2,71,41,0,18,0,1,1,143,366
35093,Toronto Centre, 469-1,Toronto,3,0,0,4,0,64,28,0,15,0,0,0,114,319
35093,Toronto Centre,470,Toronto,Merged with No. 455,,,,,,,,,,,,,194
35093,Toronto Centre,471,Toronto,2,1,0,9,2,77,40,0,10,0,0,0,141,417
35093,Toronto Centre,472,Toronto,0,0,0,1,0,24,47,0,3,0,0,0,75,288
35093,Toronto Centre,473,Toronto,0,0,0,2,0,15,17,0,1,1,0,0,36,163
35093,Toronto Centre,474,Toronto,1,0,0,4,0,34,28,0,4,0,0,0,71,231
35093,Toronto Centre,475,Toronto,0,0,0,2,0,4,39,0,2,0,0,1,48,240
35093,Toronto Centre,476,Toronto,0,0,0,5,0,52,72,0,5,0,0,1,135,265
35093,Toronto Centre,477,Toronto,0,0,0,1,0,41,24,0,6,0,1,0,73,261
35093,Toronto Centre,478,Toronto,0,0,0,1,0,45,33,0,5,0,0,1,85,189
35093,Toronto Centre,479,Toronto,1,0,1,1,1,22,38,2,4,0,0,0,70,291
35093,Toronto Centre,480,Toronto,0,0,0,1,0,19,17,0,2,0,0,0,39,328
35093,Toronto Centre,481,Toronto,0,0,0,3,0,23,32,0,6,0,0,1,65,345
35093,Toronto Centre,482,Toronto,0,0,0,3,1,39,19,0,16,0,0,0,78,269
35093,Toronto Centre,483,Toronto,1,0,1,2,0,22,48,0,2,0,0,0,76,214
35093,Toronto Centre,484,Toronto,Merged with No. 467,,,,,,,,,,,,,193
